 PNAME , OPRNAME , UTLSRVNM ,BANAME, LAT , LON , PLPRMFL , PLFUELCT , CAPFAC , NAMEPCAP 
Blue Valley,City of Independence - (MO),City of Independence - (MO),Southwest Power Pool,39.0919,-94.3261,BIT,COAL,0.034,176
Butler,City of Butler - (MO),City of Butler - (MO),Southwest Power Pool,38.264408,-94.344385,DFO,OIL, -   ,13.1
Butler Solar Power Project,City of Butler - (MO),MC Power Companies Inc,Southwest Power Pool,38.27,-94.35,SUN,SOLAR,0.166,2.8
Callaway,Union Electric Co - (MO),Union Electric Co - (MO),"Midcontinent Independent Transmission System Operator, Inc..",38.758919,-91.778841,NUC,NUCLEAR,0.857,1235.8
Carrollton,Kansas City Power & Light Co,Carrollton Board of Public Wks,Southwest Power Pool,39.3617,-93.4956,,,,24
Carthage,Southwestern Power Administration,City of Carthage - (MO),Southwestern Power Administration,37.1653,-94.3089,NG,GAS, -   ,41.8
Chamois Power Plant,Central Electric Power Coop - (MO),Central Electric Power Coop - (MO),"Associated Electric Cooperative, Inc.",38.6839,-91.7558,SUB,COAL,,59
Chillicothe,Chillicothe Municipal Utils,Chillicothe Municipal Utils,Southwest Power Pool,39.783388,-93.564112,NG,GAS, -   ,103.5
City of West Plains Power Station,Sho-Me Power Electric Coop,City of West Plains - (MO),Southwest Power Pool,36.748611,-91.868611,NG,GAS, -   ,47.4
Clarence Cannon,"Associated Electric Coop, Inc",USCE-St Louis District,"Associated Electric Cooperative, Inc.",39.524791,-91.643969,WAT,HYDRO,0.167,58
Coleman,City of Sikeston,City of Sikeston - (MO),Southwestern Power Administration,36.8785,-89.6214,DFO,OIL,,4.3
Columbia,City of Columbia - (MO),City of Columbia - (MO),"Midcontinent Independent Transmission System Operator, Inc..",38.964646,-92.316768,BIT,COAL,0.08,101.6
Columbia Energy Center (MO),City of Columbia - (MO),City of Columbia - (MO),"Midcontinent Independent Transmission System Operator, Inc..",39.0192,-92.2629,NG,GAS,0.005,162.8
Cow Branch Wind Power LLC,"Associated Electric Coop, Inc",Cow Branch,"Associated Electric Cooperative, Inc.",40.4535,-95.4683,WND,WIND,0.292,50.4
CR Clearing LLC,"Associated Electric Coop, Inc",Conception,"Associated Electric Cooperative, Inc.",40.2572,-94.6722,WND,WIND,0.288,50.4
Dogwood Energy Facility,Kansas City Power & Light Co,"Dogwood Power Management, LLC",Southwest Power Pool,38.7931,-94.3006,NG,GAS,0.203,630
Elm Street Substation Generators,City of Farmington - (MO),City of Farmington - (MO),"Midcontinent Independent Transmission System Operator, Inc..",37.7814,-90.4156,DFO,OIL,,8
Empire District Elec Co Energy Ctr,Empire District Electric Co,Empire District Electric Co,Southwest Power Pool,37.1385,-94.1041,NG,GAS,0.034,379
Essex Power Plant,"Associated Electric Coop, Inc","Associated Electric Coop, Inc","Associated Electric Cooperative, Inc.",36.868206,-89.840173,NG,GAS,0.02,229.2
Fairgrounds,Union Electric Co - (MO),Union Electric Co - (MO),"Midcontinent Independent Transmission System Operator, Inc..",38.5935,-92.2206,DFO,OIL, -   ,68.3
Farmers City Wind LLC,MidAmerican Energy Co,Iberdrola Renewables Inc,"Midcontinent Independent Transmission System Operator, Inc..",40.575,-95.5228,WND,WIND,0.221,146
Fayette,Central Electric Power Coop - (MO),City of Fayette - (MO),"Associated Electric Cooperative, Inc.",39.1406,-92.68,DFO,OIL,,10.9
Fredericktown Energy Center,City of Fredericktown - (MO),Missouri Jnt Muni.Pwr Elec. Ut. Comm.,Southwestern Power Administration,37.571672,-90.317251,NG,GAS,,27.6
Fulton (MO),City of Fulton - (MO),City of Fulton - (MO),"Associated Electric Cooperative, Inc.",38.868095,-91.94778,NG,GAS,0.001,38.2
Gallatin #2,,City of Gallatin - (MO),Southwest Power Pool,39.928333,-93.937777,DFO,OIL,,3.6
Gallatin (MO),"N W Electric Power Coop, Inc",City of Gallatin - (MO),"Associated Electric Cooperative, Inc.",39.9144,-93.9619,DFO,OIL, -   ,7.2
Grand Ave Plant,Kansas City Power & Light Co,Veolia Energy Kansas City,Southwest Power Pool,39.111944,-94.581111,NG,GAS,0.8,5
Grand Avenue,,Kansas City Power & Light Co,Southwest Power Pool,39.105278,-94.569722,NG,GAS,,83.2
Greenwood Energy Center,Kansas City Power & Light Co,KCP&L Greater Missouri Operations Co,Southwest Power Pool,38.8615,-94.2982,NG,GAS,0.02,244
Harry Truman,Southwestern Power Administration,USCE-Kansas City District,Southwestern Power Administration,38.2623,-93.4062,WAT,HYDRO,0.07,161.4
Hawthorn,Kansas City Power & Light Co,Kansas City Power & Light Co,Southwest Power Pool,39.1306,-94.4778,SUB,COAL,0.364,1070.3
Higginsville Municipal Power Plant,City of Higginsville - (MO),City of Higginsville - (MO),Southwest Power Pool,39.073315,-93.714748,NG,GAS, -   ,51.6
Holden Power Plant,"Associated Electric Coop, Inc","Associated Electric Coop, Inc","Associated Electric Cooperative, Inc.",38.7538,-93.9983,NG,GAS,0.003,321.3
Howard Bend,Union Electric Co - (MO),Union Electric Co - (MO),"Midcontinent Independent Transmission System Operator, Inc..",38.681797,-90.540048,DFO,OIL, -   ,47.4
Iatan,Kansas City Power & Light Co,Kansas City Power & Light Co,Southwest Power Pool,39.4472,-94.98,SUB,COAL,0.64,1640
IKEA St. Louis 410,Ameren Missouri,IKEA Property Inc,"Midcontinent Independent Transmission System Operator, Inc..",38.634995,-90.245549,SUN,SOLAR,,1
Jackson (MO),Union Electric Co - (MO),City of Jackson - (MO),"Midcontinent Independent Transmission System Operator, Inc..",37.3847,-89.6606,DFO,OIL,0.001,28.3
Jackson Square,City of Independence - (MO),City of Independence - (MO),Southwest Power Pool,39.094574,-94.411522,DFO,OIL, -   ,36
James River,City Utilities of Springfield - (MO),City Utilities of Springfield - (MO),Southwest Power Pool,37.108611,-93.261944,SUB,COAL,0.181,450.5
Jefferson Street Substation,City of Farmington - (MO),City of Farmington - (MO),"Midcontinent Independent Transmission System Operator, Inc..",37.7694,-90.4258,DFO,OIL,,6
John Twitty Energy Center,City Utilities of Springfield - (MO),City Utilities of Springfield - (MO),Southwest Power Pool,37.151706,-93.38804,SUB,COAL,0.459,603
Kahoka,Union Electric Co - (MO),City of Kahoka,"Midcontinent Independent Transmission System Operator, Inc..",40.4225,-91.7206,NG,GAS, -   ,7.4
Kansas City International,Kansas City Power & Light Co,KCP&L Greater Missouri Operations Co,Southwest Power Pool,39.297252,-94.693153,NG,GAS,,36
KCP&L SmartGrid Innovation Park,Kansas City Power & Light Co,Kansas City Power & Light Co,Southwest Power Pool,39.040263,-94.571215,MWH,OTHF,,1
Kennett,City of Kennett - (MO),City of Kennett - (MO),Southwestern Power Administration,36.2431,-90.0495,NG,GAS,0.003,44.5
Kirksville,Union Electric Co - (MO),Union Electric Co - (MO),"Midcontinent Independent Transmission System Operator, Inc..",40.224525,-92.584928,NG,GAS, -   ,15
La Plata,Northeast Missouri El Pwr Coop,City of La Plata - (MO),"Associated Electric Cooperative, Inc.",40.0122,-92.5075,DFO,OIL, -   ,8.5
Labadie,Union Electric Co - (MO),Union Electric Co - (MO),"Midcontinent Independent Transmission System Operator, Inc..",38.562244,-90.837686,SUB,COAL,0.725,2389.4
Lake Road,Kansas City Power & Light Co,KCP&L Greater Missouri Operations Co,Southwest Power Pool,39.7246,-94.8773,SUB,COAL,0.103,273.3
