 PNAME , OPRNAME , UTLSRVNM ,BANAME, LAT , LON , PLPRMFL , PLFUELCT , CAPFAC , NAMEPCAP 
Agrium Kenai Nitrogen Operations,Homer Electric Assn Inc,Agrium US Inc,Alaska Miscellaneous,60.6732,-151.3784,NG,GAS,,21.6
Alakanuk,"Alaska Village Elec Coop, Inc","Alaska Village Elec Coop, Inc",Alaska Miscellaneous,62.6833,-164.6544,JF,OIL,0.099,2.6
Allison Creek Hydro,"Copper Valley Elec Assn, Inc","Copper Valley Elec Assn, Inc",Alaska Miscellaneous,61.084444,-146.353333,WAT,HYDRO,,6.5
Anchorage 1,Anchorage Municipal Light and Power,Anchorage Municipal Light and Power,Anchorage Municipal Light & Power,61.2221,-149.8661,NG,GAS,0.032,121.4
Angoon,"Inside Passage Elec Coop, Inc","Inside Passage Elec Coop, Inc",Alaska Miscellaneous,57.447778,-134.492778,DFO,OIL,0.102,1.9
Aniak,Aniak Light & Power Co Inc,Aniak Light & Power Co Inc,Alaska Miscellaneous,61.5875,-159.5317,DFO,OIL,0.15,2
Annex Creek,Alaska Electric Light&Power Co,Alaska Electric Light&Power Co,Alaska Miscellaneous,58.3176,-134.101,WAT,HYDRO,0.781,4
Auke Bay,Alaska Electric Light&Power Co,Alaska Electric Light&Power Co,Alaska Miscellaneous,58.3875,-134.6446,DFO,OIL,,36.2
Aurora Energy LLC Chena,Golden Valley Elec Assn Inc,Aurora Energy LLC,Alaska Miscellaneous,64.847743,-147.735063,SUB,COAL,0.697,31.3
Barrow,"Barrow Utils & Elec Coop, Inc","Barrow Utils & Elec Coop, Inc",Alaska Miscellaneous,71.292,-156.7786,NG,GAS,0.279,20.3
Battery Energy Storage System,Golden Valley Elec Assn Inc,Golden Valley Elec Assn Inc,Alaska Miscellaneous,64.8167,-147.725,MWH,OTHF,,27
Beaver Falls,Ketchikan Public Utilities,Ketchikan Public Utilities,Alaska Miscellaneous,55.37975,-131.470269,WAT,HYDRO,0.962,5.4
Beluga,Chugach Electric Assn Inc,Chugach Electric Assn Inc,Chugach Electric Assn Inc,61.1861,-151.0356,NG,GAS,0.371,374.4
Bernice Lake,Alaska Electric & Energy Coop,Homer Electric Assn Inc,Chugach Electric Assn Inc,60.6935,-151.3874,NG,GAS,0.026,76.7
Bethel,Bethel Utilities Corp,"Alaska Village Elec Coop, Inc",Alaska Miscellaneous,60.7897,-161.787778,DFO,OIL,0.38,12.6
Black Bear Lake,Alaska Power and Telephone Co,Alaska Power and Telephone Co,Alaska Miscellaneous,55.476472,-133.14772,WAT,HYDRO,0.536,4.5
Bradley Lake,Alaska Energy Authority,Homer Electric Assn Inc,Chugach Electric Assn Inc,59.77862,-150.94015,WAT,HYDRO,0.392,126
Centennial,Metlakatla Power & Light,Metlakatla Power & Light,Alaska Miscellaneous,55.1139,-131.5481,DFO,OIL, -   ,3.3
Chester Lake,Metlakatla Power & Light,Metlakatla Power & Light,Alaska Miscellaneous,55.116879,-131.545879,WAT,HYDRO,0.681,1
Chevak,"Alaska Village Elec Coop, Inc","Alaska Village Elec Coop, Inc",Alaska Miscellaneous,61.479444,-165.499444,DFO,OIL,,1
Cooper Lake,Chugach Electric Assn Inc,Chugach Electric Assn Inc,Chugach Electric Assn Inc,60.392331,-149.665603,WAT,HYDRO,0.189,19.4
Craig (AK),Alaska Power and Telephone Co,Alaska Power and Telephone Co,Alaska Miscellaneous,55.4764,-133.1483,DFO,OIL,0.008,4.4
Delta Power,Golden Valley Elec Assn Inc,Golden Valley Elec Assn Inc,Alaska Miscellaneous,64.028056,-145.719444,DFO,OIL, -   ,23.1
Delta Wind Farm,Golden Valley Elec Assn Inc,Alaska Environmental Power,Alaska Miscellaneous,64.013889,-145.596667,WND,WIND,0.27,1.9
Dillingham,"Nushagak Electric Coop, Inc","Nushagak Electric Coop, Inc",Alaska Miscellaneous,59.6708,-157.89,DFO,OIL,0.197,10.7
Dutch Harbor,City of Unalaska - (AK),City of Unalaska - (AK),Alaska Miscellaneous,53.9761,-166.5361,DFO,OIL,0.205,26
Eielson AFB Central Heat & Power Plant,Golden Valley Elec Assn Inc,U S Air Force-Eielson AFB,Alaska Miscellaneous,64.67141,-147.075988,SUB,COAL,0.233,33.5
Eklutna Generation Station,Matanuska Electric Assn Inc,Matanuska Electric Assn Inc,Alaska Miscellaneous,61.457778,-149.351389,NG,GAS,,171
Eklutna Hydro Project,Chugach Electric Assn Inc,Anchorage Municipal Light and Power,Anchorage Municipal Light & Power,61.475211,-149.15009,WAT,HYDRO,0.214,44.4
Elim,"Alaska Village Elec Coop, Inc","Alaska Village Elec Coop, Inc",Alaska Miscellaneous,64.6206,-162.2772,JF,OIL,0.085,1.6
Emmonak,"Alaska Village Elec Coop, Inc","Alaska Village Elec Coop, Inc",Alaska Miscellaneous,60.788889,-161.789722,DFO,OIL,0.112,3.5
ESS Battery,Kodiak Electric Assn Inc,Kodiak Electric Assn Inc,Alaska Miscellaneous,57.799167,-152.404167,MWH,OTHF,,3
Eva Creek Wind,Golden Valley Elec Assn Inc,Golden Valley Elec Assn Inc,Alaska Miscellaneous,64.058333,-148.9,WND,WIND,0.333,24.6
Fairbanks,Golden Valley Elec Assn Inc,Golden Valley Elec Assn Inc,Alaska Miscellaneous,64.854171,-147.719351,RFO,OIL,0.019,42.2
False Island,Alaska Power and Telephone Co,Alaska Power and Telephone Co,Alaska Miscellaneous,55.4889,-133.1339,DFO,OIL,0.058,1.6
Fire Island Wind,Chugach Electric Assn Inc,Fire Island Wind LLC,Chugach Electric Assn Inc,61.13,-150.243611,WND,WIND,0.303,18
Fort Greely Power Plant,Golden Valley Elec Assn Inc,Doyon Utilities - Fort Greely,Alaska Miscellaneous,63.0947,-145.7172,DFO,OIL,0.001,10.4
Galena Electric Utility,Galena Electric Utility,Galena Electric Utility,Alaska Miscellaneous,64.7381,-156.94,DFO,OIL,0.081,8
Gambell,"Alaska Village Elec Coop, Inc","Alaska Village Elec Coop, Inc",Alaska Miscellaneous,63.7667,-171.7375,JF,OIL,0.108,1.6
George M Sullivan Generation Plant 2,Anchorage Municipal Light and Power,Anchorage Municipal Light and Power,Anchorage Municipal Light & Power,61.229713,-149.716744,NG,GAS,0.212,266.3
Glennallen,"Copper Valley Elec Assn, Inc","Copper Valley Elec Assn, Inc",Alaska Miscellaneous,61.9769,-146.5494,DFO,OIL,0.092,11.3
Goat Lake Hydro,Alaska Power and Telephone Co,Alaska Power and Telephone Co,Alaska Miscellaneous,59.5357,-135.2123,WAT,HYDRO,0.432,4
Gold Creek,Alaska Electric Light&Power Co,Alaska Electric Light&Power Co,Alaska Miscellaneous,58.3107,-134.4174,WAT,HYDRO,0.067,9.7
Green Lake,City & Borough of Sitka - (AK),City & Borough of Sitka - (AK),Alaska Miscellaneous,56.986284,-135.12275,WAT,HYDRO,0.434,18.6
Gwitchyaa Zhee,Gwitchyaa Zhee Utility Co,Gwitchyaa Zhee Utility Co,Alaska Miscellaneous,66.5208,-145.3064,DFO,OIL,0.081,3.2
Haines,Alaska Power and Telephone Co,Alaska Power and Telephone Co,Alaska Miscellaneous,59.2358,-135.445,DFO,OIL, -   ,7.3
Healy,Golden Valley Elec Assn Inc,Golden Valley Elec Assn Inc,Alaska Miscellaneous,63.8542,-148.95,WC,COAL,0.263,80.8
Hoonah,"Inside Passage Elec Coop, Inc","Inside Passage Elec Coop, Inc",Alaska Miscellaneous,58.114167,-135.407778,DFO,OIL,0.149,3.4
Hooper Bay,"Alaska Village Elec Coop, Inc","Alaska Village Elec Coop, Inc",Alaska Miscellaneous,61.5208,-166.1003,DFO,OIL,0.134,2.4
Humpback Creek,"Cordova Electric Coop, Inc","Cordova Electric Coop, Inc",Alaska Miscellaneous,60.612822,-145.679411,WAT,HYDRO,0.295,1.2
Hydaburg,Alaska Power and Telephone Co,Alaska Power and Telephone Co,Alaska Miscellaneous,55.2081,-132.8267,DFO,OIL,0.001,1
Industrial Plant,Alaska Electric Light&Power Co,Alaska Electric Light&Power Co,Alaska Miscellaneous,58.367635,-134.60802,DFO,OIL,,25
International,Chugach Electric Assn Inc,Chugach Electric Assn Inc,Chugach Electric Assn Inc,61.168972,-149.911038,NG,GAS,0.002,46.3
Jarvis Street,City & Borough of Sitka - (AK),City & Borough of Sitka - (AK),Alaska Miscellaneous,57.0497,-135.3128,DFO,OIL,0.001,25.6
JBER Landfill Gas Power Plant,"Doyon Utilities, LLC","Doyon Utilities, LLC",Alaska Miscellaneous,61.285,-149.611667,LFG,BIOMASS,0.558,11.5
Kake,"Inside Passage Elec Coop, Inc","Inside Passage Elec Coop, Inc",Alaska Miscellaneous,56.957857,-133.908103,DFO,OIL,0.102,3
Kasidaya Creek Hydro,Alaska Power and Telephone Co,Alaska Power and Telephone Co,Alaska Miscellaneous,59.4072,-135.3408,WAT,HYDRO,0.329,3
Kasigluk,"Alaska Village Elec Coop, Inc","Alaska Village Elec Coop, Inc",Alaska Miscellaneous,60.8731,-162.5197,JF,OIL,0.187,1.6
Ketchikan,Ketchikan Public Utilities,Ketchikan Public Utilities,Alaska Miscellaneous,55.344641,-131.633425,WAT,HYDRO,0.664,4.2
Kiana,"Alaska Village Elec Coop, Inc","Alaska Village Elec Coop, Inc",Alaska Miscellaneous,67.5683,-160.5053,DFO,OIL,0.102,1.7
King Cove,City of King Cove,City of King Cove,Alaska Miscellaneous,55.061683,-162.3103,WAT,HYDRO,0.168,2.6
Kivalina,"Alaska Village Elec Coop, Inc","Alaska Village Elec Coop, Inc",Alaska Miscellaneous,67.63,-163.7189,JF,OIL,0.124,1.1
Klawock,,"Inside Passage Elec Coop, Inc",Alaska Miscellaneous,55.557778,-132.981389,DFO,OIL,,1.4
Kodiak,Kodiak Electric Assn Inc,Kodiak Electric Assn Inc,Alaska Miscellaneous,57.789683,-152.39675,DFO,OIL,,41.3
Kotlik,"Alaska Village Elec Coop, Inc","Alaska Village Elec Coop, Inc",Alaska Miscellaneous,62.9456,-163.7614,JF,OIL,0.157,1.4
Kotzebue,Kotzebue Electric Assn Inc,Kotzebue Electric Assn Inc,Alaska Miscellaneous,66.837778,-162.556944,DFO,OIL,0.075,32.6
Koyuk,"Alaska Village Elec Coop, Inc","Alaska Village Elec Coop, Inc",Alaska Miscellaneous,64.93,-161.16,JF,OIL,0.129,1.1
Lake Dorothy Hydroelectric Project,Alaska Electric Light&Power Co,Alaska Electric Light&Power Co,Alaska Miscellaneous,58.2325,-134.0533,WAT,HYDRO,0.667,14.3
Lemon Creek,Alaska Electric Light&Power Co,Alaska Electric Light&Power Co,Alaska Miscellaneous,58.3536,-134.4953,DFO,OIL, -   ,61.7
Mahoney Lake Hydroelectric,Ketchikan Public Utilities,Alaska Power and Telephone Co,Alaska Miscellaneous,55.419444,-131.537778,WAT,HYDRO,,9.6
McGrath,McGrath Light & Power Co,McGrath Light & Power Co,Alaska Miscellaneous,63.2369,-154.219444,DFO,OIL,0.086,3.2
Mountain Village,"Alaska Village Elec Coop, Inc","Alaska Village Elec Coop, Inc",Alaska Miscellaneous,62.1656,-163.0783,DFO,OIL,0.128,2.5
Naknek,"Naknek Electric Assn, Inc","Naknek Electric Assn, Inc",Alaska Miscellaneous,58.8128,-156.7319,DFO,OIL,0.213,11.1
Newhalen,"I-N-N Electric Coop, Inc","I-N-N Electric Coop, Inc",Alaska Miscellaneous,59.899054,-154.698735,WAT,HYDRO,0.122,3.2
Nikiski Co-Generation,Alaska Electric & Energy Coop,Homer Electric Assn Inc,Chugach Electric Assn Inc,60.676539,-151.377713,NG,GAS,0.544,77.9
Noatak,"Alaska Village Elec Coop, Inc","Alaska Village Elec Coop, Inc",Alaska Miscellaneous,67.57,-162.98,JF,OIL,0.119,1.7
Noorvik,"Alaska Village Elec Coop, Inc","Alaska Village Elec Coop, Inc",Alaska Miscellaneous,66.8553,-160.4958,DFO,OIL,0.209,1
North Pole,Golden Valley Elec Assn Inc,Golden Valley Elec Assn Inc,Alaska Miscellaneous,64.7356,-147.3481,JF,OIL,0.198,181
Northway,Alaska Power and Telephone Co,Alaska Power and Telephone Co,Alaska Miscellaneous,62.9617,-141.9372,DFO,OIL,0.088,1.5
NSB Anaktuvuk Pass,North Slope Borough Power & Light,North Slope Borough Power & Light,Alaska Miscellaneous,68.7494,-152.1319,DFO,OIL,0.156,2.9
NSB Atqasuk Utility,North Slope Borough Power & Light,North Slope Borough Power & Light,Alaska Miscellaneous,70.4808,-157.3969,DFO,OIL,0.113,3.4
NSB Kaktovik Utility,North Slope Borough Power & Light,North Slope Borough Power & Light,Alaska Miscellaneous,69.2925,-143.7303,DFO,OIL,0.197,2.6
NSB Nuiqsut Utility,North Slope Borough Power & Light,North Slope Borough Power & Light,Alaska Miscellaneous,69.9636,-152.7539,DFO,OIL,0.157,4.8
NSB Point Hope Utility,North Slope Borough Power & Light,North Slope Borough Power & Light,Alaska Miscellaneous,69.0408,-160.1919,DFO,OIL,0.143,4.6
NSB Point Lay Utility,North Slope Borough Power & Light,North Slope Borough Power & Light,Alaska Miscellaneous,69.740833,-163.005833,DFO,OIL,0.088,4.6
NSB Wainwright Utility,North Slope Borough Power & Light,North Slope Borough Power & Light,Alaska Miscellaneous,70.5986,-160.0614,DFO,OIL,0.22,3.3
Nunapitchuk,"Alaska Village Elec Coop, Inc","Alaska Village Elec Coop, Inc",Alaska Miscellaneous,60.875278,-162.453333,DFO,OIL,,1.7
Nymans Plant,Kodiak Electric Assn Inc,Kodiak Electric Assn Inc,Alaska Miscellaneous,57.7911,-152.4058,DFO,OIL,,10
Orca,"Cordova Electric Coop, Inc","Cordova Electric Coop, Inc",Alaska Miscellaneous,60.555,-145.7531,DFO,OIL,0.063,13.7
Pelican,Pelican Utility,Pelican Utility,Alaska Miscellaneous,57.957197,-136.220095,DFO,OIL,0.043,2.9
Petersburg,Petersburg Borough - (AK),Petersburg Borough - (AK),Alaska Miscellaneous,56.81104,-132.957091,WAT,HYDRO,0.107,14.8
Pillar Mountain Wind Project,Kodiak Electric Assn Inc,Kodiak Electric Assn Inc,Alaska Miscellaneous,57.7869,-152.4406,WND,WIND,0.296,9
Pilot Station,"Alaska Village Elec Coop, Inc","Alaska Village Elec Coop, Inc",Alaska Miscellaneous,61.9381,-162.875,JF,OIL,0.162,1.2
Port Lions,Kodiak Electric Assn Inc,Kodiak Electric Assn Inc,Alaska Miscellaneous,57.7911,-152.4058,DFO,OIL,,1
Power Creek,"Cordova Electric Coop, Inc","Cordova Electric Coop, Inc",Alaska Miscellaneous,60.588686,-145.604539,WAT,HYDRO,0.314,6
Purple Lake,Metlakatla Power & Light,Metlakatla Power & Light,Alaska Miscellaneous,55.091263,-131.544978,WAT,HYDRO,0.458,3.9
Quinhagak,"Alaska Village Elec Coop, Inc","Alaska Village Elec Coop, Inc",Alaska Miscellaneous,59.7539,-161.9008,JF,OIL,0.175,1.1
Reynolds Creek,Alaska Power and Telephone Co,Alaska Power and Telephone Co,Alaska Miscellaneous,55.216389,-132.603611,WAT,HYDRO,,5
Riley#03a,City & Borough of Sitka - (AK),City & Borough of Sitka - (AK),Alaska Miscellaneous,57.0516,-135.2297,WAT,HYDRO,0.203,22.9
S W Bailey,Ketchikan Public Utilities,Ketchikan Public Utilities,Alaska Miscellaneous,55.3633,-131.6778,DFO,OIL, -   ,25.9
Salmon Creek 1,Alaska Electric Light&Power Co,Alaska Electric Light&Power Co,Alaska Miscellaneous,58.3269,-134.4631,WAT,HYDRO,0.297,8.5
Savoonga,"Alaska Village Elec Coop, Inc","Alaska Village Elec Coop, Inc",Alaska Miscellaneous,63.25,-169.5889,JF,OIL,0.128,1.7
Scammon Bay,"Alaska Village Elec Coop, Inc","Alaska Village Elec Coop, Inc",Alaska Miscellaneous,61.79,-165.0689,JF,OIL,0.148,1.3
Selawik,"Alaska Village Elec Coop, Inc","Alaska Village Elec Coop, Inc",Alaska Miscellaneous,66.5569,-160.1431,DFO,OIL,0.101,2.9
Seldovia,Homer Electric Assn Inc,Homer Electric Assn Inc,Chugach Electric Assn Inc,59.43959,-151.713488,DFO,OIL,0.011,4.5
Seward (AK),City of Seward - (AK),City of Seward - (AK),Alaska Miscellaneous,60.1083,-149.4417,DFO,OIL, -   ,18.6
Shishmaref,"Alaska Village Elec Coop, Inc","Alaska Village Elec Coop, Inc",Alaska Miscellaneous,65.0853,-165.1108,DFO,OIL,0.133,1.4
Shungnak,"Alaska Village Elec Coop, Inc","Alaska Village Elec Coop, Inc",Alaska Miscellaneous,66.71,-156.9889,JF,OIL,0.151,1.2
Silvis,Ketchikan Public Utilities,Ketchikan Public Utilities,Alaska Miscellaneous,55.381402,-131.517758,WAT,HYDRO,0.746,2.1
Skagway,Alaska Power and Telephone Co,Alaska Power and Telephone Co,Alaska Miscellaneous,59.4545,-135.3131,WAT,HYDRO,0.078,4.4
Snake River,Nome Joint Utility Systems,Nome Joint Utility Systems,Alaska Miscellaneous,64.505924,-165.429384,DFO,OIL,0.139,24.9
Snettisham,Alaska Industrial Dev&Exp Auth,Alaska Electric Light&Power Co,Alaska Miscellaneous,58.1415,-133.737,WAT,HYDRO,0.417,78.2
Soldotna,Alaska Electric & Energy Coop,Homer Electric Assn Inc,Chugach Electric Assn Inc,60.499444,-150.997222,NG,GAS,0.053,100
Solomon Gulch,"Copper Valley Elec Assn, Inc","Copper Valley Elec Assn, Inc",Alaska Miscellaneous,61.0828,-146.3033,WAT,HYDRO,0.523,12
South Fork,Alaska Power and Telephone Co,Alaska Power and Telephone Co,Alaska Miscellaneous,55.563333,-132.891111,WAT,HYDRO,0.335,2
Southcentral Power Project,Chugach Electric Assn Inc,Chugach Electric Assn Inc,Chugach Electric Assn Inc,61.167417,-149.905304,NG,GAS,0.509,203.9
St Marys IC,"Alaska Village Elec Coop, Inc","Alaska Village Elec Coop, Inc",Alaska Miscellaneous,62.0636,-163.2658,DFO,OIL,0.048,7.1
St. Michael,"Alaska Village Elec Coop, Inc","Alaska Village Elec Coop, Inc",Alaska Miscellaneous,63.4775,-162.0383,JF,OIL,0.114,1.7
Stebbins,"Alaska Village Elec Coop, Inc","Alaska Village Elec Coop, Inc",Alaska Miscellaneous,63.47,-162.2489,JF,OIL,0.053,3.2
Swan Lake,Four Dam Pool Agency,Ketchikan Public Utilities,Alaska Miscellaneous,55.613892,-131.35417,WAT,HYDRO,0.337,22.4
Terror Lake,Kodiak Electric Assn Inc,Kodiak Electric Assn Inc,Alaska Miscellaneous,57.6861,-152.895,WAT,HYDRO,0.455,33.6
Tesoro Kenai Cogeneration Plant,Homer Electric Assn Inc,Tesoro Alaska Company LLC,Alaska Miscellaneous,60.677,-151.3815,NG,GAS,0.89,8.6
Thorne Bay Plant,Alaska Power and Telephone Co,Alaska Power and Telephone Co,Alaska Miscellaneous,55.5156,-132.9672,DFO,OIL, -   ,1
TNSG North Plant,TDX North Slope Generating Inc.,TDX North Slope Generating Inc.,Alaska Miscellaneous,70.235278,-148.383611,NG,GAS,0.294,25.7
TNSG South Plant,TDX North Slope Generating Inc.,TDX North Slope Generating Inc.,Alaska Miscellaneous,70.2,-148.466667,NG,GAS,0.124,8.4
Togiak,"Alaska Village Elec Coop, Inc","Alaska Village Elec Coop, Inc",Alaska Miscellaneous,59.2281,-160.385,DFO,OIL,0.119,2.9
Tok,Alaska Power and Telephone Co,Alaska Power and Telephone Co,Alaska Miscellaneous,63.3367,-142.9856,DFO,OIL,0.134,7.6
Toksook Bay,"Alaska Village Elec Coop, Inc","Alaska Village Elec Coop, Inc",Alaska Miscellaneous,60.6,-164.7489,JF,OIL,0.171,1.7
Unalakleet,Matanuska Electric Assn Inc,Unalakleet Valley Elec Coop,Alaska Miscellaneous,63.5325,-160.9006,DFO,OIL,0.109,3.6
Unalaska Power Module,City of Unalaska - (AK),City of Unalaska - (AK),Alaska Miscellaneous,53.86406,-166.51242,DFO,OIL,0.007,1.1
Unisea G 2,Unisea Inc,Unisea Inc,Alaska Miscellaneous,53.8892,-166.5583,DFO,OIL,0.189,19.2
University of Alaska Fairbanks,Golden Valley Elec Assn Inc,University of Alaska,Alaska Miscellaneous,64.854171,-147.822075,SUB,COAL,0.137,39.6
Upper Kalskag,"Alaska Village Elec Coop, Inc","Alaska Village Elec Coop, Inc",Alaska Miscellaneous,61.5378,-160.3072,JF,OIL,0.133,1.1
Utility Plants Section,Golden Valley Elec Assn Inc,Doyon Utilities - Ft. Wainwright,Alaska Miscellaneous,64.825601,-147.648627,SUB,COAL,0.36,22.5
Valdez,"Copper Valley Elec Assn, Inc","Copper Valley Elec Assn, Inc",Alaska Miscellaneous,61.1303,-146.3647,DFO,OIL,0.024,9.7
Valdez Cogen,"Copper Valley Elec Assn, Inc","Copper Valley Elec Assn, Inc",Alaska Miscellaneous,61.0839,-146.2529,WO,OIL,0.457,5.3
Viking,Alaska Power and Telephone Co,Alaska Power and Telephone Co,Alaska Miscellaneous,55.4886,-133.1408,DFO,OIL, -   ,1
Westward Seafoods,City of Unalaska - (AK),Westward Seafoods Inc,Alaska Miscellaneous,53.8575,-166.5539,DFO,OIL,0.325,6.6
Whitman,Ketchikan Public Utilities,Ketchikan Public Utilities,Alaska Miscellaneous,55.328056,-131.530833,WAT,HYDRO,,4.8
Wrangell,City of Wrangell - (AK),City of Wrangell - (AK),Alaska Miscellaneous,56.4522,-132.3683,DFO,OIL,0.005,14.7
Yakutat,CBY DBA Yakutat Power,CBY DBA Yakutat Power,Alaska Miscellaneous,59.5453,-139.725,DFO,OIL,0.08,7.7
ABC Coke,Alabama Power Co,"Drummond Company, Inc.","Southern Company Services, Inc. - Trans",33.582793,-86.779866,COG,COAL,0.412,3.8
Alabama Pine Pulp,Alabama Power Co,Alabama River Cellulose LLC,"Southern Company Services, Inc. - Trans",31.5825,-87.4889,BLQ,BIOMASS,0.125,69
Alabama River Pulp,Alabama Power Co,Alabama River Cellulose LLC,"Southern Company Services, Inc. - Trans",31.5825,-87.4889,BLQ,BIOMASS,0.027,48
Albertville,Tennessee Valley Authority,Albertville Municipal Utilities Board,Tennessee Valley Authority,34.3003,-86.3297,DFO,OIL,,4
AMEA Sylacauga Plant,Alabama Power Co,Alabama Municipal Elec Authority,"Southern Company Services, Inc. - Trans",33.1661,-86.2825,NG,GAS,0.034,98.6
APC1,,Alabama Power Co,"Southern Company Services, Inc. - Trans",,,NG,GAS,,270
APC2,,Alabama Power Co,"Southern Company Services, Inc. - Trans",,,NG,GAS,,300
APC3,,Alabama Power Co,"Southern Company Services, Inc. - Trans",,,NG,GAS,,200
Bankhead Dam,Alabama Power Co,Alabama Power Co,"Southern Company Services, Inc. - Trans",33.458665,-87.356823,WAT,HYDRO,0.1,53.9
Barry,Alabama Power Co,Alabama Power Co,"Southern Company Services, Inc. - Trans",31.0069,-88.0103,BIT,COAL,0.522,2841.5
Bartletts Ferry,Georgia Power Co,Georgia Power Co,"Southern Company Services, Inc. - Trans",32.661976,-85.091552,WAT,HYDRO,0.238,173
Bellefonte,Tennessee Valley Authority,Tennessee Valley Authority,Tennessee Valley Authority,34.7092,-85.9278,DFO,OIL,,14
Boise Cascade Pulp & Paper Mill,Alabama Power Co,Boise White Paper LLC,"Southern Company Services, Inc. - Trans",31.4894,-87.8989,BLQ,BIOMASS,0.783,18
Browns Ferry,Tennessee Valley Authority,Tennessee Valley Authority,Tennessee Valley Authority,34.7042,-87.1189,NUC,NUCLEAR,0.874,3494
Calhoun Energy Center,Alabama Power Co,Calhoun Power Co LLC,"Southern Company Services, Inc. - Trans",33.5883,-85.9731,NG,GAS,0.004,748
Charles R Lowman,PowerSouth Energy Cooperative,PowerSouth Energy Cooperative,PowerSouth Energy Cooperative,31.488019,-87.910747,BIT,COAL,0.398,538
Colbert,Tennessee Valley Authority,Tennessee Valley Authority,Tennessee Valley Authority,34.7439,-87.8486,BIT,COAL,0.225,1826
Crestwood Dothan,City of Dothan - (AL),Crestwood Corp,"Southern Company Services, Inc. - Trans",31.262356,-85.402737,DFO,OIL,0.006,13.6
Decatur Energy Center,Tennessee Valley Authority,Decatur Energy Center LLC,Tennessee Valley Authority,34.6292,-87.0214,NG,GAS,0.125,902.4
Decatur-Morgan Co LFG Recovery Project,Joe Wheeler Elec Member Corp,Granger Electric Co,Tennessee Valley Authority,34.623611,-87.101111,LFG,BIOMASS,0.884,1.6
District 100 Transco Gas Pipe Line,Alabama Power Co,Transcontinental Gas PL Corp,"Southern Company Services, Inc. - Trans",32.668889,-86.72,WH,OTHF,,1.6
E B Harris Generating Plant,Alabama Power Co,Southern Power Co,"Southern Company Services, Inc. - Trans",32.381352,-86.574366,NG,GAS,0.216,2534
E C Gaston,Alabama Power Co,Alabama Power Co,"Southern Company Services, Inc. - Trans",33.244211,-86.458056,BIT,COAL,0.361,2034
ExxonMobil Mobile Bay Onshore,Alabama Power Co,Exxon Mobil Production Co,"Southern Company Services, Inc. - Trans",30.43203,-88.18241,NG,GAS,0.683,12
Gadsden,Alabama Power Co,Alabama Power Co,"Southern Company Services, Inc. - Trans",34.0128,-85.9708,BIT,COAL,0.179,138
Gantt,PowerSouth Energy Cooperative,PowerSouth Energy Cooperative,PowerSouth Energy Cooperative,31.4033,-86.479469,WAT,HYDRO,0.264,3
Georgia-Pacific Brewton Mill,Alabama Power Co,Georgia-Pacific Brewton LLC,"Southern Company Services, Inc. - Trans",31.077,-87.1116,NG,GAS,0.257,115.9
Georgia-Pacific Consr Prods LP-Naheola,Alabama Power Co,Georgia-Pacific Consr Prods LP-Naheola,"Southern Company Services, Inc. - Trans",32.2268,-88.0252,NG,GAS,0.367,78.3
Goat Rock,Georgia Power Co,Georgia Power Co,"Southern Company Services, Inc. - Trans",32.60965,-85.0805,WAT,HYDRO,0.355,44.6
Gorgas,Alabama Power Co,Alabama Power Co,"Southern Company Services, Inc. - Trans",33.644344,-87.196486,BIT,COAL,0.423,1416.7
Greene County,Alabama Power Co,Alabama Power Co,"Southern Company Services, Inc. - Trans",32.6017,-87.7811,BIT,COAL,0.253,1288.4
Guntersville,Tennessee Valley Authority,Tennessee Valley Authority,Tennessee Valley Authority,34.421272,-86.393931,WAT,HYDRO,0.707,115.2
H Neely Henry Dam,Alabama Power Co,Alabama Power Co,"Southern Company Services, Inc. - Trans",33.7845,-86.0524,WAT,HYDRO,0.311,72.9
Harris Dam,Alabama Power Co,Alabama Power Co,"Southern Company Services, Inc. - Trans",33.258281,-85.616047,WAT,HYDRO,0.125,135
Hillabee Energy Center,Alabama Power Co,CER Generation LLC,"Southern Company Services, Inc. - Trans",33.000669,-85.903278,NG,GAS,0.698,822.8
Hog Bayou Energy Center,Southern Co Services Inc,Mobile Energy LLC,"Southern Company Services, Inc. - Trans",30.7478,-88.0575,NG,GAS,0.191,280
Holt Dam,Alabama Power Co,Alabama Power Co,"Southern Company Services, Inc. - Trans",33.2553,-87.4495,WAT,HYDRO,0.176,46.9
International Paper-Courtland Mill,Tennessee Valley Authority,International Paper Co-Courtld,Tennessee Valley Authority,34.735,-87.3108,NG,GAS,0.032,127.1
International Paper-Prattville Mill,Alabama Power Co,International Paper Co,"Southern Company Services, Inc. - Trans",32.4187,-86.4718,BLQ,BIOMASS,0.693,89.8
International Paper-Riverdale Mill,Alabama Power Co,International Paper Co-Riverdl,"Southern Company Services, Inc. - Trans",32.426016,-86.870912,NG,GAS,0.603,104.2
James H Miller Jr,Alabama Power Co,Alabama Power Co,"Southern Company Services, Inc. - Trans",33.6319,-87.0597,SUB,COAL,0.747,2822
Jones Bluff,Alabama Power Co,USCE-Mobile District,"Southern Company Services, Inc. - Trans",32.324242,-86.784319,WAT,HYDRO,0.411,82
Jordan Dam,Alabama Power Co,Alabama Power Co,"Southern Company Services, Inc. - Trans",32.6189,-86.2548,WAT,HYDRO,0.336,100
